Time,signal type,Asset,Amount in coin ,Blance in USDT,Price,target price,stop loss,Profit
2022-06-27 02:03:06.948592,Sell,WAVES,166.10896778724367,1043.1643177038902,6.28,6.3114,5.935242857142858,1.4331210191082664
2022-06-27 03:02:27.455299,Buy,PEOPLE,42700.13580449817,1043.1643177038902,0.02443,0.024552150000000002,0.02319,NAN
2022-06-27 03:46:44.599602,Sell,PEOPLE,42700.13580449817,1054.2663530130599,0.02469,0.02481345,0.02342247975,1.0530579181855122
2022-06-27 04:02:47.876966,Buy,SOL,26.258190610536985,1054.2663530130599,40.15,40.35075,38.54857142857143,NAN
2022-06-27 04:39:30.312604,Sell,SOL,26.258190610536985,1065.0322111633802,40.56,40.581900000000005,38.74131428571429,1.0108481262327595
2022-06-27 05:02:32.787443,Buy,AVAX,52.38722140498673,1065.0322111633802,20.33,20.431649999999998,19.49142857142857,NAN
2022-06-27 07:08:39.957624,Sell,AVAX,52.38722140498673,1076.0335276584274,20.54,20.5422,19.588885714285713,1.0223953261927887
2022-06-27 08:02:43.168223,Buy,LINK,155.4961745171138,1076.0335276584274,6.92,6.9546,6.65,NAN
2022-06-27 08:59:24.044387,Sell,LINK,155.4961745171138,1086.9182598746254,6.99,6.9948,6.68325,1.0014306151645256
2022-06-27 09:02:27.909006,Buy,SUPER,7304.558198082161,1086.9182598746254,0.1488,0.14954399999999998,0.14307142857142857,NAN
2022-06-27 11:25:01.101517,Sell,SUPER,7304.558198082161,1098.605552991557,0.1504,0.150549,0.14378678571428571,1.0638297872340594
2022-06-27 13:02:47.270999,Buy,MTL,781.369525598547,1098.605552991557,1.406,1.41303,1.3651428571428572,NAN
2022-06-27 13:32:31.812828,Sell,MTL,781.369525598547,1110.3260958755354,1.421,1.4210699999999998,1.3719685714285714,1.0555946516537822
2022-06-27 16:02:23.046563,Buy,ALCX,43.713625821871474,1110.3260958755354,25.4,25.526999999999997,24.442857142857143,NAN
2022-06-27 21:56:41.428952,Sell,ALCX,43.713625821871474,1123.4401836220968,25.7,25.728,24.56507142857143,1.167315175097271
2022-06-27 22:02:44.408562,Buy,SOL,29.19543096731021,1123.4401836220968,38.48,38.672399999999996,37.089999999999996,NAN
2022-06-27 22:12:52.479966,Sell,SOL,29.19543096731021,1137.4539904864057,38.96,39.1548,37.46182725,1.2320328542094447
2022-06-27 23:02:57.778507,Buy,BNB,4.852619413337909,1137.4539904864057,234.4,235.572,229.4714285714286,NAN
2022-06-28 07:02:54.321612,Sell,BNB,4.852619413337909,1149.1002770784169,236.8,237.984,231.77187964285716,1.0135135135135296
2022-06-28 08:02:56.794263,Buy,TRX,17189.2337633271,1149.1002770784169,0.06685,0.06718425,0.06546142857142857,NAN
2022-06-28 08:55:40.477748,Sell,TRX,17189.2337633271,1161.1327407127458,0.06755,0.06788775,0.06611767939285715,1.0362694300518078
2022-06-28 09:02:44.192566,Buy,STORJ,1517.0273591752623,1161.1327407127458,0.7654,0.769227,0.7215714285714285,NAN
2022-06-28 18:11:16.224830,Sell,STORJ,1517.0273591752623,1099.5414299302302,0.7248,0.7741515,0.7251792857142857,-5.601545253863132
2022-06-28 20:02:14.595575,Buy,VGX,3727.259084509255,1099.5414299302302,0.295,0.296475,0.27228571428571424,NAN
2022-06-28 21:27:46.400669,Sell,VGX,3727.259084509255,1110.723207183758,0.298,0.298485,0.2736471428571428,1.0067114093959761
2022-06-28 22:02:51.042824,Buy,XRP,3234.488081490268,1110.723207183758,0.3434,0.345117,0.33467142857142856,NAN
2022-06-29 02:28:58.970599,Sell,XRP,3234.488081490268,1081.6128144503455,0.3344,0.345117,0.33467142857142856,-2.691387559808619
2022-06-29 03:03:05.081936,Buy,SOL,30.271839195363714,1081.6128144503455,35.73,35.908649999999994,34.00428571428571,NAN
