open,high,low,close,lowerlow,m_lowerlow
19267.79606614368,19276.9,19266.3,19273.025,0.0,0
19270.41053307184,19280.2,19258.8,19269.225,0.0,0
19269.81776653592,19269.81776653592,19215.0,19248.05,0.0,0
19258.93388326796,19262.6,19240.9,19251.475,0.0,0
19255.204441633978,19255.204441633978,19162.0,19218.325,0.0,0
19236.764720816987,19236.764720816987,19025.0,19133.575,0.0,0
19185.169860408496,19185.169860408496,19076.0,19105.1,0.0,0
19145.134930204247,19145.134930204247,19057.6,19092.475,1.0,1
19118.80496510212,19150.2,19073.0,19117.125,0.0,0
19117.96498255106,19261.6,19117.96498255106,19202.325,0.0,0
19160.14499127553,19258.9,19160.14499127553,19220.525,0.0,0
19190.334995637764,19199.0,19163.7,19183.25,0.0,0
19186.79249781888,19239.6,19177.1,19202.575,0.0,0
19194.68374890944,19212.6,19125.2,19172.175,0.0,0
19183.42937445472,19183.42937445472,19136.6,19152.6,0.0,0
19168.01468722736,19183.4,19127.6,19156.35,0.0,0
19162.18234361368,19162.18234361368,19118.7,19139.675,0.0,0
19150.92867180684,19159.1,19126.4,19139.75,0.0,0
19145.33933590342,19190.6,19140.2,19160.625,0.0,0
19152.98216795171,19178.6,19150.1,19162.925,0.0,0
19157.953583975854,19174.5,19141.3,19152.25,0.0,0
19155.101791987927,19165.9,19128.6,19143.7,0.0,0
19149.40089599396,19149.40089599396,19104.0,19129.6,0.0,0
19139.50044799698,19139.50044799698,19060.0,19105.9,0.0,0
19122.70022399849,19145.2,19092.0,19116.725,0.0,0
19119.712611999246,19134.3,19096.5,19115.95,1.0,1
19117.83130599962,19132.0,19097.6,19111.4,0.0,0
19114.61565299981,19154.7,19104.3,19128.325,0.0,0
19121.470326499904,19178.7,19121.470326499904,19153.475,0.0,0
19137.47266324995,19225.1,19137.47266324995,19190.775,0.0,0
19164.123831624973,19196.4,19158.0,19181.45,0.0,0
19172.78691581249,19207.9,19172.78691581249,19189.725,0.0,0
19181.255957906244,19201.0,19181.255957906244,19191.35,0.0,0
19186.30297895312,19192.0,19156.5,19179.35,0.0,0
19182.82648947656,19217.8,19167.0,19192.0,0.0,0
19187.41324473828,19210.0,19186.2,19197.175,0.0,0
19192.294122369138,19202.8,19133.7,19173.300000000003,0.0,0
19182.79706118457,19182.79706118457,19140.5,19159.375,0.0,0
19171.086030592283,19198.9,19159.1,19174.625,0.0,0
19172.85551529614,19211.0,19168.0,19192.05,0.0,0
19182.45275764807,19339.2,19182.45275764807,19263.15,0.0,0
19222.801378824035,19313.0,19222.801378824035,19267.575,0.0,0
19245.188189412016,19294.0,19214.7,19254.575,0.0,0
19249.881594706007,19289.9,19245.6,19264.775,0.0,0
19257.328297353004,19267.2,19247.5,19255.25,0.0,0
19256.2891486765,19256.2891486765,19228.7,19242.8,0.0,0
19249.54457433825,19249.54457433825,19218.0,19229.375,0.0,0
19239.45978716913,19254.0,19220.0,19230.2,0.0,0
19234.829893584563,19234.829893584563,19158.7,19196.375,0.0,0
19215.602446792283,19215.602446792283,19094.6,19144.725,0.0,0
19180.16372339614,19180.16372339614,19136.3,19146.0,0.0,0
19163.08186169807,19206.6,19144.0,19171.125,1.0,1
19167.103430849034,19222.0,19127.5,19186.575,0.0,0
19176.83921542452,19292.7,19176.83921542452,19223.85,0.0,0
19200.344607712257,19212.8,19170.4,19192.65,0.0,0
19196.49730385613,19219.0,19131.4,19174.05,0.0,0
19185.273651928062,19185.273651928062,18896.0,19048.175,0.0,0
19116.72432596403,19116.72432596403,18907.0,18953.75,0.0,0
19035.23716298201,19068.0,18926.1,19002.125,1.0,1
